	Entity Name	Alternative Name	Tag	Reference
383	Blaeuw		No	Yule
384	Blochmann		No	Yule
385	Block-books		No	Yule
386	Block-printing in Persia.		No	Yule
387	Blood-sucking		No	Yule
388	Boars tusks		No	Yule
389	Bode		No	Yule
390	Bodhisatva Avalok		No	Yule
391	Bodleian MS. of Polo		No	Yule
392	Boeach		No	Yule
393	Boemond		No	Yule
394	Boga	Buka	Person	Yule
395	Boghra Khan		Person	Yule
396	Bohea 		Location	Yule
397	Bohra		No	Yule
398	Boikoff		No	Yule
399	Bokhara		Location	Murray,Yule
400	Boleyn		No	Yule
401	Bolgana		No	Yule
402	Bolgarskoye	Uspenskoye	No	Yule
403	Bolghar	Bolgara	Location	Yule
404	Bolivar		No	Yule
405	Bolor		No	Yule
406	Bombay		No	Yule
407	Bonaparte		No	Yule
408	Bonga		No	Yule
409	Bonheur		No	Yule
410	Boni		Person	Murray
411	Boniface VIII		No	Yule
412	Bonin		No	Yule
413	Bonoccio di Mestro		No	Yule
414	Bonpos		No	Yule
415	Bonvalot		No	Yule
416	Bonús		No	Yule
417	Boodhism in Central Asia			Murray
418	Book of Marco Polo		No	Yule
419	Bore in Hang-chau Estuary		No	Yule
420	Bormans		No	Yule
421	Born		No	Yule
422	Borneo		No	Yule
423	Boro Bodor		No	Yule
424	Borrak		Person	Yule
425	Borùs		No	Yule
426	Bostam		No	Yule
427	Bouqueran		No	Yule
428	Bourne		No	Yule
429	Boxwood forests in Georgia		No	Yule
430	Bra		No	Yule
431	Bracelets		No	Yule
432	Bragadino		No	Yule
433	Brahmanical thread		No	Yule
434	Brahmans	Abraiaman	No	Yule
435	Brahmas temple		No	Yule
436	Brahuis		No	Yule
437	Brakhimof		No	Yule
438	Brambanan		No	Yule
439	Bran	Tibetan tsamba	No	Yule
440	Brazil wood		No	Yule
441	Bread		No	Yule
442	Brephung monastery		No	Yule
443	Bretschneider		No	Yule
444	Brichu	Brius	Location	Yule
445	Bridges of Pulisanghin		No	Yule
446	Brine-wells		No	Yule
447	British Museum		Location	Murray
450	Brown		No	Yule
451	Bruces Abyssinian Chronology		No	Yule
452	Brunetto Latinis Book		No	Yule
453	Brunhilda		No	Yule
454	Bruun		No	Yule
455	Bucephala		No	Yule
456	Bucephalus		No	Yule
457	Buckrams		No	Yule
458	Buddha		No	Yule
459	Buddhism		No	Yule
460	Buddhist Decalogue		No	Yule
461	Buffaloes in Anin		No	Yule
462	Buffet and vessels of Kúbláis table		No	Yule
463	Buka	Boga	Location	Yule
464	Buka Bosha		No	Yule
465	Bularguji	Bularguchi	No	Yule
466	Bulgaria		Location	Murray,Yule
467	Bulughán	Bolgana	Person	Yule
468	Bundúkdár		No	Yule
469	Bundúkdári		Person	Yule
470	Buraets		No	Yule
